Songid,Genre,Song,Artist,SPB,SPN,SPH,SPA,DPN,DPH,DPA,Style,In26
1,DANCE POP,Dr. Love,baby weapon feat.Asuka.M,-,2,3,3,3,4,-,1,1
2,BIG BEAT,GAMBOL,SLAKE,-,1,1,-,1,1,-,1,1
3,DIGI-ROCK,GRADIUSIC CYBER,TAKA,-,5,6,7,4,9,9,1,1
4,RAVE,R3,tiger YAMATO,-,4,5,6,4,6,8,1,1
5,TECHNO,22 DUNK,SLAKE,-,3,4,5,5,5,5,1,1
6,PIANO AMBIENT,5.1.1.,dj nagureo,-,1,6,10,1,7,10,1,1
7,MINIMAL,Digital MinD(A/T Libra mix),TaQ,-,3,5,6,4,8,-,2,1
8,BIG BEAT,Electro Tuned(the SubS mix),TaQ,-,4,5,6,6,9,-,2,1
9,ITALO HOUSE,I Was The One,good-cool,-,2,3,3,1,2,-,2,1
10,GOA TRANCE,Indigo Vision(full flavour hide around mix),TaQ,-,3,5,8,5,8,-,2,1
11,JAZZ FUNK,PUT YOUR FAITH IN ME(for beatmania II),dj TAKA feat. UZI-LAY,-,3,6,-,4,7,-,2,1
12,JUNGLE,SP-TRIP MACHINE(for beatmania II),dj TAKA feat. DE-SIRE,-,3,4,4,3,5,-,2,1
13,CHILL OUT,0.59,dj TAKA,-,4,6,7,4,6,7,2,1
14,HYPER EUROBEAT,CAN'T STOP FALLIN'IN LOVE,NAOKI,-,3,8,-,4,7,-,3,1
15,HAPPY HANDBAG,Don't Stop!,dj TAKA feat. JP Miles,-,4,4,4,4,4,-,3,1
16,DRUM'N'BASS,era(nostalmix),TaQ,-,5,8,9,5,12,12,3,1
17,HARD TECHNO,Holic,TaQ,-,5,7,11,7,10,12,3,1
18,DIGI ROCK,LEADING CYBER,dj TAKA,-,4,6,7,4,6,6,3,1
19,PIANO AMBIENT,Presto,Osamu Kubota,-,3,8,8,3,8,-,3,1
20,RAVE,R5,tiger YAMATO with ultrabeatbox,-,5,8,11,5,8,11,3,1
21,TRANCE,REINCARNATION,dj TAKA,-,4,5,7,4,5,7,3,1
22,BIG BEAT,Schlagwerk,TaQ,-,4,6,8,4,11,11,3,1
23,EPIC HOUSE,Skyscraper,good-cool,-,4,6,7,4,7,-,3,1
